TUMOUR,N40554,R00884,AA489861,T50661,AA055368,AA455094,AA599116,AA670107,AA458932,T71606,R48231,H59620,AA158258,N48302,W31688,AA487428,N55187,N20820,AA486332,T63362,W72596,AA430503,N33228,AA490996,AA055101,AA456654,AA504348,N80922,W69094,AA453749,AA045074,R31679,AA490462,AA018979,W67316,AA461091,N95761,AA608582,T68113,N23047,W53015,AA455225,R15791,AA490737,AA625890,W42451,AI668697,AA459407,AA461092,AA700419
2,0.718,-1.12,0.523,0.145,-1.798,0.399,-2.869,-1.228,-1.921,0.121,0.853,-1.533,-0.118,0.465,0.665,-0.926,1.252,0.474,-0.681,0.741,0.521,-1.074,2.14,-1.006,-0.322,1.239,-1.971,0.576,-0.597,-1.845,-0.644,4.079,2.079,2.37,0.834,-0.065,1.821,-1.111,1.375,-0.513,-0.316,-0.333,-0.786,-0.262,3.601,0.43,1.3,-0.066,-0.155,0.533
2,1.447,-1.033,0.159,0.262,-1.466,1.186,-2.23,-2.51,-1.369,-0.113,0.752,-0.955,-1.644,0.495,0.472,-1.039,1.549,0.304,-1.081,0.991,0.149,-0.756,2.241,-1.827,-0.072,1.66,-1.486,0.952,-0.204,-2.054,-0.552,3.76,2.366,1.819,0.577,1.534,1.49,-1.175,1.444,0.138,0.052,0.073,-0.292,-0.522,2.331,0.577,0.724,0.722,-0.294,1.387
2,0.257,-1.141,1.021,0.076,-2.177,0.355,-1.865,-1.218,-1.38,0.247,0.059,-1.631,-1.493,0.991,-0.136,-1.232,1.424,0.212,-0.494,1.191,0.2,-0.661,2.055,-1.875,-0.16,1.061,-1.627,0.436,-0.434,-1.828,-1.083,3.184,0.968,0.531,1.27,2.206,2.128,-0.721,1.093,-0.028,0.341,0.057,0.37,-0.771,2.751,-0.231,1.323,-0.177,-0.586,0.45
2,0.488,-1.453,0.603,-0.013,-4.127,0.238,-0.16,-2.757,0.755,0.613,-0.043,-0.303,-1.108,0.986,-1.396,-0.224,-0.017,0.748,1.584,0.182,0.328,1.727,2.62,-3.537,-1.783,1.169,-0.465,1.081,0.076,-0.373,-1.558,-0.081,2.401,-1.313,0.886,1.401,0.802,-0.994,2.929,0.368,-0.262,-1.436,0.257,0.775,2.733,-0.348,0.108,-0.016,-1.026,0.919
2,1.735,-0.828,0.962,0.663,-2.353,0.366,-2.235,-1.929,-1.378,-0.42,0.344,-0.919,-0.882,0.287,0.383,-0.085,0.497,0.265,-0.342,0.995,0.073,-0.653,2.154,-2.075,-0.365,1.047,-2.069,0.391,-0.557,-1.685,-0.604,3.432,1.436,2.325,0.561,2.226,2.699,-1.669,1.484,-0.538,-0.017,-0.233,-0.296,-0.535,3.301,0.407,0.157,-0.164,-0.676,1.638
1,1.084,-0.042,1.347,0.001,-0.337,0.653,-2.321,-2.693,-1.871,-0.705,0.368,1.387,-1.206,0.528,0.525,-0.606,1.725,-0.216,-0.483,0.466,0.239,-1.243,2.175,-2.496,0.039,1.196,-1.772,0.781,-0.353,-2.071,-1.034,4.639,0.759,1.08,0.931,2.136,1.292,-1.289,1.115,-0.283,0.025,0.3,0.447,-0.417,1.194,0.677,0.978,-0.092,-0.678,0.189
1,0.858,-0.18,0.266,0.484,-0.04,0.922,-1.771,-2.02,-1.191,0.397,0.571,0.259,-0.661,-0.074,0.361,0.055,1.144,0.401,-0.267,0.882,0.608,-0.747,1.859,-1.482,-0.062,1.368,-1.794,0.63,-0.272,-1.462,-0.83,4.375,2.513,1.248,0.976,0.97,2.3,-0.78,1.146,-0.214,-0.041,0.44,-0.315,-0.196,1.44,0.246,0.23,0.124,-0.524,0.629
1,-0.1,-0.804,1.366,-0.167,-0.54,0.507,-2.423,-2.569,-1.318,0.368,0.228,0.594,-1.559,0.474,-0.098,-0.492,1.245,-0.001,-0.626,1.03,0.313,-0.278,3.222,-2.287,-0.01,1.282,-1.882,1.402,-0.406,-2.006,-0.818,4.783,1.496,0.901,1.318,2.19,2.556,-1.543,1.58,-0.494,0.071,0.461,0.205,-0.416,1.824,-0.161,0.858,-0.193,-1.118,0.99
2,1.123,-1.874,0.681,0.533,-1.979,0.692,-1.986,-2.847,-1.254,-0.78,0.426,-1.487,-0.121,0.076,-0.084,-0.4,0.741,0.313,-0.203,1.14,0.626,-0.669,1.382,-2.736,-0.34,1.133,-1.853,-0.77,-0.488,-1.124,-0.951,3.452,3.193,1.505,0.502,1.259,1.723,-2.608,1.84,-0.512,-0.26,-0.381,-1.466,-0.202,2.849,0.015,0.8,-0.162,-0.079,1.525
1,-0.573,-0.932,0.935,-0.418,-0.153,0.582,-2.535,-3.259,-1.761,-1.562,-0.03,-0.4,-1.287,0.202,0.114,-1.956,1.357,0.229,-1.096,0.567,0.95,-2.382,2.297,-2.153,0.169,1.18,-1.852,0.673,-0.128,-2.099,-0.846,4.45,1.583,1.716,1.192,1.964,2.299,-1.815,0.699,-0.199,0.011,0.305,-0.046,-0.333,-0.136,0.299,0.284,-0.283,-0.572,0.891
1,1.136,-1.199,1.157,-0.065,-0.392,0.853,-1.784,-1.887,-1.455,-0.299,0.302,-1.55,-1.317,0.129,-0.745,-1.661,0.692,0.66,-0.306,0.47,0.713,-1.303,1.87,-1.404,-0.282,0.985,-2.009,0.758,-0.234,-1.34,-0.902,4.841,3.074,0.439,0.655,1.217,1.581,-1.846,1.069,-0.05,-0.072,-0.504,-0.115,0.232,1.227,-0.379,0.285,-0.996,-0.492,1.289
2,1.001,-1.228,0.989,0.128,-2.324,0.493,-2.469,-2.157,-1.476,-0.184,-0.223,-0.912,-0.863,0.159,-0.177,-1.601,0.81,0.406,0.007,0.557,0.417,-0.699,2.129,-2.592,-0.754,1.203,-1.461,0.864,0.135,-1.564,-1.16,3.377,1.635,1.83,0.709,1.711,2,-1.956,2.521,-0.118,-0.024,-0.476,1.069,-0.289,2.09,0.204,0.228,-0.195,-0.651,1.647
2,0.931,-1.638,0.853,0.599,-0.912,1.206,-2.789,-2.152,-1.433,-0.287,0.863,-2.511,-1.887,0.998,0.31,-1.556,0.743,0.367,-1.05,0.994,1.076,-1.073,1.134,-0.975,-0.317,0.976,-1.68,0.593,-0.705,-2.213,-1.199,3.267,2.642,1.315,1.353,2.124,0.655,-1.321,0.447,-0.583,-0.096,0.212,0.583,-0.687,1.055,-0.209,0.224,-0.678,-0.514,0.995
